מס',כלל,הסבר הכלל,מקור,Ver,חסר
153,כולי עלמא,על הנהו תנאי דמדכרי התם במשנה או בברייתא ולעולם דאיכא מאן דפליג,עין זוכר ,11,
154,כי סליק רב פלוני \ כי אתא רב פלוני,מבבל לארץ ישראל \ מארץ ישראל לבבל ,הליכות עולם ,8,
155,כי תימא,מציע השואל תשובה שאותה הוא דוחה מיד,,11,
156,כל הראוי לבילה - אין בילה מעכבת בו,"- אבל היכא שלא נעשה כלל מאותו ענין אין אנו אומרים 
- בדיעבד לא עיכב אבל לא שנסמוך ע""ז לכתחילה ",יד מלאכי,12,
157,כעורה זו ששנה רבי,כלומר וכי מכוערת היא בעיניך משנה זו ששנה רבי ,"רש""י",12,
158,כתנאי,"- מחלוקת התנאים בעיקר הדין, אך לא ידענו מה תהיה סברת תנא דידן עד דאפליגו אליביה שני האמוראים
- אוקימתא - זה לא כמי לימא כתנאי","תולדות יעקב 
ראשון לציון",14,
159,לא דריש \ לא משמע ליה,"לא דריש: אינו ר""ל דלא דרשי ליה כלל אלא דלא דריש ליה לההיא דרשא שהוזכרה שם
לא משמע ליה: דלא משמע ליה דאתי לשום דרשא ",יד מלאכי,11,
160,לא מבעיא,צריך שבאותו נושא יהיה קצת חידוש ,יד מלאכי,7,
161,לא נצרכא,"לא נצרכה אלא  לכי האי גוונא =  לא צריכא אלא 
מפסיקין בין מילה לא למילה צריכא ","של""ה",7,
162,לא שנו אלא,"לא נאמר על דבר משנה, אלא על דיוק",כללי הגמרא ,11,
163,לאו תרוצי קמתרצת לה תריץ ואימא הכי,"כשבא המקשה להקשות לו מברייתא .. שדורש תירוץ, עונה הפשטן 'לא תרוצי קא מתרצת לה' כי היכי דלא ליהוי משבשתא מכיון דנחית לתרוצה תריץ נמי 'ואימא' כך וכך באופן דלא תיקשי [עלי] ",יד מלאכי,12,
164,לדברי פלוני קאמר,,,,אין הסבר
165,להודיעך כוחו דפלוני,כוחא דהיתרא עדיף,הליכות עולם ,11,
166,להשוות גזירות חכמים זה לזה,אין לדמות גזירות חכמים אלא במקום שהגמרא מביאה ,כללי הגמרא ,11,
167,לטעמיה,"כשמביאים מימרא דרב שהיא בעצם ברייתא שלא שלו, מכיוון שהוא הביא את הברייתא לבית המדרש ",גופי הלכות,8,
168,לייט עלה,קללה,,11,
169,לימא,לא בא לשון זה בגמרא אלא בדבר שנדחה בסוף ,הליכות עולם ,7,
170,לימא הני תנאי כהני תנאי,מקשים למה מביאים פלוגתא מסויימת פעמיים ,כללי שמואל ,7,
171,לימא כתנאי,"דחיקא ליה מילתא שיאמר האמורא דבר סתם דלא ככולי עלמא, שאם לפסוק הלכה בא, לימא בהדיא הלכה כפלוני. ","של""ה",12,
172,לימא כתנאי... דאיכא תנא דקאי כוותיה,לימא כתנאי,,12,
173,לימא מסייע ליה,הסיוע הוא הבא לחזק הלכה קלה לקיימה להיותה הלכה מוחזקת,גופי הלכות,11,
174,לימא תנן סתמא דלא כפלוני,"לימא תנן סתמא דלא כפלוני' ובין דאמרינן 'לימא תנן סתמא כפלוני' תרווייהו לאקשויי קאתי.
'לימא תנן סתמא כפלוני' ההוא פלוני לית הלכתא כוותיה","של""ה",12,
175,לימוד הוא ערוך בידינו,למדו מרבותם דבר זה אבל זה לא הלכה למשה מסיני,יד מלאכי,8,
176,לישנא אחרינא,"חידוש אחר,כהאמורא אומר לתלמידים קבלתו וסברתו בדין, לא דייק כל כך בלשונו, אבל בשעת הוראתו הדין למעשה שבא לפניו, אז מדקדק בענין שלא יטעו",הליכות אלי,12,
177,למאי נפקא מינה,"היכי דמי' שואל באיזה נושא נאמר הדין הזה.
למאי נ""מ, כגון שהנושא ידוע, ושואל למאי נ""מ, כלומר מה לי שיהיה כך.","של""ה",11,
178,למימרא,"בא לחדש
לומר ש... [משמע ש…] כהקדמה לקושיה, מחדדים את המסקנה היוצאת ממה שנאמר קודם לכן, ומתוך כך מקשים על מסקנה זו",פורטל הדף היומי,7,
179,לעולם,"אלא - דוחה את כל מה שנאמר קודם 
לעולם - דחיה, אך יש דרך לחזור ",,12,
180,לעולם אימא לך,"2 חלוקות + 2 קושיות + תירוץ ל-1 + קושיא ל-1, לכן חוזרים 
רבמ""ם - קושטא דמילתא 
רשב""א - דחיה","של""ה
יד מלאכי 
",11,
181,מאי או אינו קאמר,,,,אין הסבר
182,מאי איכא למימר,"ואין הכוונה שיש עליו קושיא מפורשת, אלא לומר שאין לו הכרע לדבריו",כללי הגמרא ,11,
,מאי איריא,מדוע לימד דווקא בזה,,14,
183,מאי בינייהו,היא שאלה על מחלוקת אמוראים בטעם הדין,"של""ה",11,
184,מאי הוי עלה,לידע איך הוא פסקא דדינא אחר שקלא וטריא,יד מלאכי,11,
185,מאי הוי עלה ,לבירור ההלכה אחרי השקלא וטריא,הליכות עולם ,8,
186,מאי ואומר,"כיצד אנו למדין מן המקרא הראשון, ולמה נאמרו שנים","רש""י ביצה ה:",11,
187,מאי טעמא,"שאלת מנא הני מילי על יחיד - הלכה כמותו
שאלת מאי טעמא על יחיד - אין הלכה כמותו",גופי הלכות,9,
188,מאי לאו,מאלו השני צדדין מהו האמיתי ?  וצריך להפריד בין מאי (מהו) -ללאו,כללי שמואל,11,
189,מאי משמע,מֵאֵי משמע - משמעות דקרא מאיזה מקום הוא,"של""ה",11,
190,מאי קא משמע לן - פשיטא,"שמקשה 'מאי קא משמע לן' 'פשיטא',
ומשיב 'מהו דתימא' כך וכך 'קא משמע לן', 
והדר מקשה 'ואימא הכי נמי', ומשיב ","של""ה",11,
191,"מאי קמ""ל תנינא","כאשר אמורא מביא איזה דין , והדין ההוא כתוב במשנה , מקשים 'מאי קמ""ל  תנינא?'",כללי שמואל,11,
192,מאי קראה,"מֵאֵי קראה 
מנא לן \ מנא הני מילי - הוכחה מפסוק 
מאי קרא - אסמכתא מפסוק בלבד, מכיון שזאת הלכה למשה מסיני",יד מלאכי,7,
193,מאי קראה,אסמכתא ורמז בעלמא בעניינים שהם מדברי סופרים,יד מלאכי,8,
194,מאי קשיא ליה,,,,אין הסבר
195,מאי שנא \ ורמינהו,"מאי שנא - סתירה בעיקרון הסברא 
ורמינהו - סתירה בדין

'מאי שנא = מאי טעמא",גופי הלכות ,11,
196,מאן דהוא,אחד מן התלמידים שלא זכרו שמו,ר' אהרן מגיד ,11,
197,מאן חכמים,מאן חכמים ? רבי פלוני. שהטעם בהיות המקבלים רבים שקבלו מן החכם ההוא,כללי שמואל ,11,
198,מאן תנא,כשלכאורה דקיימת סתירה בין דברי תנא אחד במקום אחד עם עצמו במקום אחר,כללי הגמרא ,11,
199,מגיד,"פשוטו אינו כמשמעו, מצמצם את הדיוק המתבקש",,11,
200,מגיד לך הכתוב,ראה 'מגיד',,12,
201,מדרגות הנבואה,,,,אין הסבר
202,מה טעם קאמר,המשפט השני בא להסביר המשפט הרשאון,יד מלאכי,11,
203,מה מצינו- בנין אב,,,,
204,מה נפשך,"אם אין להם מחלוקות בדין, למה באו למחלוקת בטעם, שיהיה טעם זה או טעם זה.
ואם יש להם מחלוקת בדין, מהו הדין שיש ביניהם עד שבאו למחלוקת בטעם. ","של""ה",11,
205,"מה ת""ל [.] מגיד לך הכתוב",מה זה בא לחדש,,14,
206,"מהו דתימא .. קמ""ל","בכל דוכתא דאמרינן כה""ג , לא נשאר כן, והכי קאמר 'אי לאו הכי הוה אמינא כך וכך, קמ""ל דלא",כללי שמואל ,11,
207,מהו דתימא .. סלקא דעתך אמינא,"כאשר ישנה סברא נכונה, אלא שהיא אינה מתאימה לכאן  הגמ' משתמשת בלשון 'מהו דתימא'.
וכאשר הסברא אינה נכונה , הגמ' משתמשת בלשון סד""א","החיד""א",11,
208,מהי הוי עלה,לבירור ההלכה אחרי השקלא וטריא,הליכות עולם ,7,
209,מוחלפת השיטה,"ר""ל ששיטת המסורת היא הפוכה. 
בכל מקום שמקשה בתנאים שסותרין עצמן ומתרץ 'מוחלפת השיטה', החליפו כל אחד שיטתו שהיה לו ויצא ממנה ולקח לו שיטה אחרת שהיה לפנינו",כללי שמואל ,11,
210,מוקמינן מתניתין בתרי טעמי אליבא דתנא אחד,כל היכא שאנו יכולים לומר שנחלקו בסברתם דמר סבר הכי ומר סבר הכי טפי עדיף מלומר שנחלקו בסברת רבם דמר אמר הכי אמר רב ומר אמר הכי אמר רב,יד מלאכי,8,
211,מי סברת,"האם אתה סבור ! - הגמרא שואלת כך, כאשר מה שנאמר הוא לא כמו שמקובל",כללי הגמרא ,12,
212,מילט לייטינן ליה ,קללה,,11,
213,מכאן \ מכאן אמרו,"מכאן - רק מכון ולא ממקום אחר
מכאן אמרו - גם ממקום אחר ",יד מלאכי,12,
214,מן התורה,אסמכתא,"מרן החיד""א",11,
215,מנא אמינא לן,כשהגמרא שואלת מנין לנו מקור דין זה במשנה או בברייתא ,,11,
216,מנא הני מילי,"מנא לן \ מנא הני מילי - הוכחה מפסוק 
מאי קרא - אסמכתא מפסוק בלבד, מכיון שזאת הלכה למשה מסיני",יד מלאכי,7,
217,מנא לן,"מנא לן \ מנא הני מילי - הוכחה מפסוק 
מאי קרא - אסמכתא מפסוק בלבד, מכיון שזאת הלכה למשה מסיני",יד מלאכי,7,
218,מסייע לרבי פלוני,לא קאמר במילתא דהוי פלוגתא דתנאי,הליכות אלי,11,
219,מסתבר טעמיה כנגד יחיד ורבים הלכה כרבים,"דאף דמסתבר טעמיה דר""מ אין לנו לפסוק אלא כרבנן משום דרבים נינהו ",יד מלאכי,12,
220,מפני מה אמרה תורה,בדבר שהצדוקים מודים בו וכשאומר מפני מה אמרה תורה הוא דבר שאין הצדוקים מודים בו ,יד מלאכי,11,
221,מקרא נדרש לפניו ולאחריו,,,,
222,מר סבר ומר סבר,חוקרים על טעם הסברא שהוא גורם מחלוקת בין החולקים,הליכות עולם,11,
223,משבשתא,"לעתים בדרך זו מתרץ התלמוד קושיה מברייתא, כאשר מוכיחים כי נוסח הברייתא משובש",,11,
224,משום,לא שמעה ממנו אבל שמעה מאחר שקבלה ממנו,"של""ה",11,
225,משמיה דנפשיה קאמר,תלמיד האומר דבר ששמע מרבו - מקבלים דבריו כאילו שמעוה מפי רבו ,יד מלאכי,7,
226,משמע,כלל בפסיקה : כך נראה מפשט הלשון אך זה לא הפירוש הבלעדי,יד מלאכי,7,
227,משמעות המקרא,,,,אין הסבר
228,משנה לא זזה ממקומה,"[שכשהיו] שונים על פה.. ושכחו קצת תיבות, ולא רצה רבי לכתוב אלא בלשון שהיתה שגורה בפי רוב התלמידים ..וסמך על המעיין שיבין החסרון ויגיה","של""ה",11,
229,מתיב / מתיבי,לשון תיובתא שייך כשהמקשה משיב על אמורא מכוח משנה או ברייתא,הליכות עולם,11,
230,"מתניתין דלא כי האי תנא (המובא בברייתא) \ 
לימא מתניתין דלא כי האי תנא""","ההלכה תהיה כמו המשנה ולא כמו התנא בברייתא , מכיוון שלא אמר ""לימא מתניתין דלא כי האי תנא""",יד מלאכי,8,
231,מתניתין מני ?,שואלים על אותה משנה לא כפלוני ולא כפלוני אלא כמי ? ובוודאי זה אחד מהם ולא שלישי - מני מתניתין ואמאן תרמייה,הליכות עולם,11,
232,מתקיף,מתקיף שאינו מקשה לשום אדם אלא לעצמו שהוא תמה בעצמו על דבר משנה,הליכות עולם ,8,
233,ניחא לן לדחוקי מתניתין ולאוקמא כיחידאה,"ניחא לן לדחוקי מתניתין ולאוקמא כיחידאה, מלמימר תנא ושייר","של""ה",11,
234,נילף מיניה,"מאי דגלי קרא מסייע לסברא, או שהסברא יש צדדים לכאן ולכאן וגלי קרא כאחד הצדדין אמרינן ויליף מיניה",עין זוכר,11,
,נימא,לא ידחה בסוף - מכוון להלכה,,14,
235,סבר רבי פלוני למימר הכי,"- חזר בו 
- לא חזר בו",,11,
236,סוף סוף,סוף סוף הקושיא לא מתורצת ,גופי הלכות,11,
237,"סלקא דעתך-קמ""ל","השורש כל דבר הוא מצד השי""ת, הוא טוב. ס""ד ,שאינו אליבא דאמת, אכן ע""י הס""ד, יתגלה מקור המכוון : 'קמשמע לן' ",תפארת החנוכי  ,12,
238,סמי לברייתא,כאשר יש צורך למחוק קטע מברייתא,רב שרירא גאון ,11,
239,ספיקא דאורייתא לחומרא,"- מדרבנן החמירו על ספיקא מדאורייתא
- מדאורייתא  מחמירינן",יבין שמועה,11,
240,ספיקא דרבנן לקולא,"ספק שהוא מחיסרון ידיעה , אף באיסור דרבנן לא אזלינן לקולא",,11,
241,ספרא דבי רב,"מדרש הלכה על ספר במדבר מ'וישלחו מן המחנה' (במדבר ה, ב) עד סוף הספר ","של""ה",11,
242,ספרא דרב,"ספרא = תורת כהנים ,מדרש הלכה על ספר ויקרא","של""ה",11,
243,סתם משנה רבי מאיר,רבי בחר לו את דרך לימודו של רבי מאיר שלמד מרבי עקיבא,יד מלאכי,11,
244,עיקר כוונת כתיבת התורה,,,,אין הסבר
245,פוק תנאי לברא,כמאן דאמר ליה סמי ברייתא זו לגמרי ,מגיני שלמה ,11,
246,פירוש הכתוב,ראה 'הכתוב מדבר',,12,
247,פסוק במשנה,"פסוק המובא במשנה או בברייתא יכול להיות אסמכתא בעלמא, וזה מדרבנן ",הליכות עולם ,11,
248,פשיטא-למה,"מקשן שואל פשיטא, תרצן מתרץ, מקשן שואל למה , כי למקשן יש נושא שסובל שני דרכים",כללי שמואל,11,
249,פשיטא לי,הקדמה לשאלה ,כללי הגמרא ,11,
250,צריכא למימר,"צריכא למימר ? (הרי זה ברור)  לכתחילה משמע , הא דיעבד שפיר דמי",הליכות עולם,11,
251,צריכותא,"""בקל עושה צריכותא"" למרות זאת מביאים את העניין לאפוקי מטעות רחוקה ","מהר""י בי רב",11,
252,קא סלקא דעתך,רוצה לומר דעת המקשה ובמסקנא לא קאי הכי,הליכות עולם ,11,
253,קב ונקי,"נאמר על רב פלוני, והלכה כמותו ","רש""י",11,
254,קדימות אמירתו לשמו ושמו לאמירתו,בכל מקום שתמצא בגמרא פלוני אומר בידוע שהוא חולק על שלפניו,הליכות עולם,11,
255,קהילא קדישא בירושלים,ר' שמעון בן מנסיא ור' יוסי בן משולם - עדה קדושה משום שהיו משלשין ימותיהן שליש לתפלה שליש בתורה שליש למלאכה ,מבוא התלמוד,11,
256,"קמ""ל","מהו דתימא .. קמ""ל",,11,
257,קסבר / הוא סבר,"שהאמורא מתרץ לנפשיה אבל הש""ס לא סובר כך - ואין הלכה כמותו -  (שואלים מ""ט קסבר <> מ""ט דכתיב)",יד מלאכי,7,
258,קשיא,"קשיא 
תיובתא = דחית מימרא ",יבין שמועה,11,
259,קשיא דפלוני קשיא,"-תיובתא דפלוני תיובתא - נדחין דברי אותו פלוני, לית הלכתא כוותיה
-קשיא דפלוני קשיא - לא נדחו דברי אותו פלוני לגמרי אבל הדבר תלוי ועומד הוא",הליכות עולם ,11,
260,רב תנא הוא ופליג,"רב - דור ראשון של אמוראים, מצי דפליג אתנא ",יד הלאכי,11,
261,רבותינו שבארץ ישראל ,רבי אבא ,,11,
262,רבותינו שבבבל,רב ושמואל,,11,
263,רבנן דבי רב,"שם כולל לחכמי בית המדרש, ורק לפעמים מדובר בבית המדרש של ""רב הונא""",הרב יוסף שמשי,11,
264,רחמנא אמר,מדרבן,"השגות הרמב""ן",11,
265,רישא דומיא דסיפא,דרך משנה וברייתא למיתני סיפא דומיא דרישא אי נמי רישא דומיא דסיפא,הליכות עולם,11,
266,רמיא,"כשמקשה ומשליך משניות וברייתות הסותרות זו לזו, או כשמקשה פסוקים זה על זה רמו קראי אהדדי",,11,
267,רמינהי,"כשמקשה ומשליך משניות וברייתות הסותרות זו לזו, או פסוקים זה על זה",הליכות עולם,11,
268,שאני הכא,"שאני הכא ולא אמר דילמא, פסיק הוא כלישנא דתלמודא אף ע""פ שאינו עומד",יד מלאכי,11,
269,שלחו מתם , רבי אלעזר,,11,
270,שמועה מפי רבו,תלמיד שהיה אומר בבית המדרש שמועה\הלכה בשם רבו היו מקבלין אותה כאילו שמעוה מפי הרב עצמו..אי לא הוה תמן מאן דפליג עלה,יד מלאכי,11,
271,שמע מינה - שמעת מינה,מכאן מסיקים - במקום אחר יש קושיא דלא איפשתא,הליכות עולם,14,
272,שנאמר,ראיה מוחלטת ,,14,
273,שני כתובים הבאים כאחד,"מלמדים חוץ ממה שכתוב בפסוקים 
לא מלמדים = דווקא המקרים הכתובים בפסוקים נלמדים ולא אחרים",הליכות עולם,11,
274,שתיקה כהודאה דמי ,"בנין אב בכל התלמוד
כשתלמיד מקשה על הרב והרב שותק זה לא אומר שהסכים לדבריו
אם המקשה הוא תלמיד חבר והרב שותק אז  הוא הסכים לדבריו","של""ה
יד מלאכי 
",8,
275,"ת""ק וחכמים הלכה כמי ?","לימדנו הרא""ש .. דהלכה כחכמים",יד מלאכי,11,
276,תא שמע,"קודם מקשים על אמורא ממשנה או מברייתא במיתיבי, לאחר התירוץ מקשים שוב בתא שמע ",כללי התלמוד,9,
,תדע,הדבר היה ברור אצלם שכך היא הלכה,"שו""ת רשב""א",14,
277,תהי בה ר' יוחנן,"קללה, מגדף",תוספות,11,
278,תורה,הלכה למשה מסיני,רבי  חזיקיהו מדיני,11,
279,תורתך,הפרו תורתיך - איסור דברים שבכתב לאומרם ע״פ הוי מדאורייתא ,רבי  חזיקיהו מדיני,11,
280,תיובתא,כשהקשה משיב על אמורא מכח משנה או ברייתא,הליכות עולם,9,
281,תיובתא דפלוני תיובתא,אין הלכה כפלוני אלא כחברו,ספר הכריתות,9,
282,תנא,תוספתא היא שנוספה על המשנה - הוסיפו אותו חכמים בגמרא מן הברייתא,סדר תנאים ואמוראים ,11,
283,תנא דבי חזקיה,"בנו של רבי חייא, משום שהיה שונה הברייתות של אביו, ויש חולקים","של""ה",11,
284,תנא דבי רב,תנא דבי רב היתה שגורה בפי הכל,גופי הלכות,11,
285,תנא דבי רבי ישמעאל,"תנא דבי רבי ישמעאל כך הלכה
דבי ר' ישמעאל תנא אינה הלכה",הליכות עולם,11,
286,תנא דבי שמואל,בתוספתא שסידר שמואל מתנאים שלפניו,"של""ה",11,
287,תנא ושייר,"דברים שצריך להוסיף על המשנה 
- דכל היכא דתני ענינים רבים אמרינן 'תנא ושייר' אף על גב דקתני 'אלו', 
- אבל כי לא תני ענינים רבים וקתני 'אלו' לא אמרינן תנא ושייר",הליכות עולם ,11,
288,תנא מייתי לה מהכא,כשהאמורא יליף איזה דבר מפסוק א' והתנא מייתי לה מקרא אחרינא,יד מלאכי,11,
289,תנא תונא (ו),"""תנא תונא"" כ""תנא דידן"" [=תנא שלנו], זאת אומרת: התנא באחת המשניות שבפרק הנלמד",,11,
290,תני רב ספרא,תני רב ספרא משום חד דבי רבי - משום רבן גמליאל בני של רבי יהודה הנשיא,"של""ה",11,
291,תני רבי שמואל,תוספתא שסידר שמואל מתנאים שלפניו,"של""ה",11,
292,תני תנא  קמיה,תנא בכאן אמורא על שם שקבל האי מתניתא מרבו ובא וספרה,הליכות עולם ,11,
293,תני תנא קמיה,"אמורא (רש""י - לאו דווקא תנא) שאומר ברייתא מרבו = פלוני אתא ואייתי מתניתא בידיה = הוא תני לה (קיבלה מרבו) והוא אמר לה ( פירשה מסברתו)",הליכות עולם ,7,
,תניא אידך,בא לסייע ולא לחלוק - הברייתא הקמייתא,,14,
294,תניא נמי הכי | דמסייע לך,"תניא נמי הכי \ תניא דמסייע לך \ אף אנן נמי תנינא - המאמר מובא לצרכי סיוע ולא להקשות 
מאי נפקא מינה \ למאי הלכתא - מה התועלת היוצא מהמאר הזה ","של""ה",7,
296,תנינא להא דתנו רבנן,"תנינא במתני' להא דת""ר וכלומר דהברייתא בר סמכא היא",יד מלאכי,11,
,תניתוה,מה שנשנה במשנתנו,,14,
297,תנן התם ,"לימוד ממסכתא אחרת. (ראינו שרש""י מציין כשזה מאותו פרק)",הליכות עולם ,8,
298,תסתיים,תסתיים דפלוני' הוא דאמר הא מכוח מימרא אחרת נמצאת לאחר מכן,מבוא התלמוד,11,
299,תפשת מרובה לא תפשת,אם אתה תופש את המועט אין מוציאין אותו מידך שהמועט בכלל המרובה אבל באת לתפוש המרובה אומר לך הבא ראיה וטול ,תוספות,11,